Altium Designer Pick and Place Locations
E:\WF_Tecnologia\Roger_Lakoski_Mestrado\RL_Drivers_Motores\OUTPUT\Variation\Pick Place\Pick Place for Drivers_Motores.txt

========================================================================================================================
File Design Information:

Date:       28/05/24
Time:       20:57
Revision:   6efdcbb00342f0ab14fcfb527c54a739bea5b0fb
Variant:    No variations
Units used: mm

Designator Comment    Layer       Footprint   Center-X(mm) Center-Y(mm) Rotation Description                                                                                        
CN1        IDCSC-26   TopLayer    IDCSC-26    5.0000       25.0000      270      "IDCSC-26
CONECTOR BOX HEADER SEM EJETOR, 26 VIAS (2X13), 180 GRAUS, PASSO 2,54MM"                
U3         DRV8833PW  TopLayer    TSSOP-16    20.0000      12.0000      180      "IC MOTOR DRIVER PAR 16-TSSOP
Bipolar Controlador de motor NMOS PWM 16-TSSOP"                     
U2         DRV8833PW  TopLayer    TSSOP-16    20.0000      25.0000      180      "IC MOTOR DRIVER PAR 16-TSSOP
Bipolar Controlador de motor NMOS PWM 16-TSSOP"                     
U1         DRV8833PW  TopLayer    TSSOP-16    20.0000      38.0000      180      "IC MOTOR DRIVER PAR 16-TSSOP
Bipolar Controlador de motor NMOS PWM 16-TSSOP"                     
U5         LM339DR2G  BottomLayer SOIC-14     16.0000      18.6500      270      "IC COMPARATOR 4 GEN PUR 
Comparador Uso geral CMOS, coletor aberto, TTL 14-SOIC"                 
U4         LM339DR2G  BottomLayer SOIC-14     16.0000      31.3500      270      "IC COMPARATOR 4 GEN PUR 
Comparador Uso geral CMOS, coletor aberto, TTL 14-SOIC"                 
R5         100k       TopLayer    SMD_R0603_F 13.2500      5.3340       0        "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
R12        1k         BottomLayer SMD_R0603_F 12.8270      25.4500      0        "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R11        100k       BottomLayer SMD_R0603_F 15.1130      26.2000      90       "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
R2         1k         TopLayer    SMD_R0603_F 22.3520      28.9680      180      "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R1         100k       TopLayer    SMD_R0603_F 20.0660      29.7180      90       "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
R4         1k         TopLayer    SMD_R0603_F 22.3520      16.0140      180      "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R10        1k         BottomLayer SMD_R0603_F 22.8480      31.7500      90       "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R3         100k       TopLayer    SMD_R0603_F 20.0660      16.7640      90       "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
R9         100k       BottomLayer SMD_R0603_F 22.0980      34.0100      180      "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
R14        1k         BottomLayer SMD_R0603_F 23.6220      19.8100      180      "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R7         1k         BottomLayer SMD_R0603_F 14.9860      37.4500      0        "1 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) AEC-Q200 automotivo Filme grosso"    
R13        100k       BottomLayer SMD_R0603_F 21.3360      20.5600      90       "100 kOhms ±1% 0,1W, 1/10W Resistor de chip 0603 (métrico 1608) Resistente à umidade Filme grosso" 
